
----- size:128 -----

- 1 archivo grande
Archivo: ./files/archivo_500_0.bin
Tiempo: 0m19.295s

- 3 archivos grandes
Archivo: ./files/archivo_500_0.bin
Tiempo: 0m22.176s
Archivo: ./files/archivo_500_2.bin
Tiempo: 0m22.174s
Archivo: ./files/archivo_500_1.bin
Tiempo: 0m22.780s

- 20 archivos medianos
Archivo: ./files/archivo_75_9.bin
Tiempo: 0m17.407s
Archivo: ./files/archivo_75_5.bin
Tiempo: 0m17.452s
Archivo: ./files/archivo_75_8.bin
Tiempo: 0m17.456s
Archivo: ./files/archivo_75_0.bin
Tiempo: 0m17.439s
Archivo: ./files/archivo_75_11.bin
Tiempo: 0m17.461s
Archivo: ./files/archivo_75_17.bin
Tiempo: 0m17.500s
Archivo: ./files/archivo_75_14.bin
Tiempo: 0m17.428s
Archivo: ./files/archivo_75_3.bin
Tiempo: 0m17.444s
Archivo: ./files/archivo_75_1.bin
Tiempo: 0m17.522s
Archivo: ./files/archivo_75_4.bin
Tiempo: 0m17.482s
Archivo: ./files/archivo_75_10.bin
Tiempo: 0m17.516s
Archivo: ./files/archivo_75_15.bin
Tiempo: 0m17.535s
Archivo: ./files/archivo_75_2.bin
Tiempo: 0m17.561s
Archivo: ./files/archivo_75_13.bin
Tiempo: 0m17.574s
Archivo: ./files/archivo_75_19.bin
Tiempo: 0m17.582s
Archivo: ./files/archivo_75_6.bin
Tiempo: 0m17.631s
Archivo: ./files/archivo_75_18.bin
Tiempo: 0m17.618s
Archivo: ./files/archivo_75_16.bin
Tiempo: 0m17.714s
Archivo: ./files/archivo_75_7.bin
Tiempo: 0m17.761s
Archivo: ./files/archivo_75_12.bin
Tiempo: 0m17.819s

- 100 archivos pequeños
Archivo: ./files/archivo_15_22.bin
Tiempo: 0m7.109s
Archivo: ./files/archivo_15_13.bin
Tiempo: 0m7.129s
Archivo: ./files/archivo_15_15.bin
Tiempo: 0m7.279s
Archivo: ./files/archivo_15_43.bin
Tiempo: 0m7.263s
Archivo: ./files/archivo_15_12.bin
Tiempo: 0m7.325s
Archivo: ./files/archivo_15_10.bin
Tiempo: 0m7.387s
Archivo: ./files/archivo_15_21.bin
Tiempo: 0m7.349s
Archivo: ./files/archivo_15_18.bin
Tiempo: 0m7.346s
Archivo: ./files/archivo_15_36.bin
Tiempo: 0m7.526s
Archivo: ./files/archivo_15_31.bin
Tiempo: 0m7.507s
Archivo: ./files/archivo_15_7.bin
Tiempo: 0m7.680s
Archivo: ./files/archivo_15_5.bin
Tiempo: 0m7.739s
Archivo: ./files/archivo_15_23.bin
Tiempo: 0m7.954s
Archivo: ./files/archivo_15_0.bin
Tiempo: 0m7.991s
Archivo: ./files/archivo_15_1.bin
Tiempo: 0m8.283s
Archivo: ./files/archivo_15_30.bin
Tiempo: 0m8.519s
Archivo: ./files/archivo_15_14.bin
Tiempo: 0m8.735s
Archivo: ./files/archivo_15_28.bin
Tiempo: 0m8.929s
Archivo: ./files/archivo_15_40.bin
Tiempo: 0m10.773s
Archivo: ./files/archivo_15_79.bin
Tiempo: 0m8.628s
Archivo: ./files/archivo_15_97.bin
Tiempo: 0m7.829s
Archivo: ./files/archivo_15_60.bin
Tiempo: 0m11.332s
Archivo: ./files/archivo_15_75.bin
Tiempo: 0m9.984s
Archivo: ./files/archivo_15_74.bin
Tiempo: 0m10.194s
Archivo: ./files/archivo_15_35.bin
Tiempo: 0m12.509s
Archivo: ./files/archivo_15_32.bin
Tiempo: 0m12.826s
Archivo: ./files/archivo_15_83.bin
Tiempo: 0m10.688s
Archivo: ./files/archivo_15_99.bin
Tiempo: 0m9.868s
Archivo: ./files/archivo_15_55.bin
Tiempo: 0m12.589s
Archivo: ./files/archivo_15_81.bin
Tiempo: 0m10.863s
Archivo: ./files/archivo_15_17.bin
Tiempo: 0m13.534s
Archivo: ./files/archivo_15_45.bin
Tiempo: 0m13.458s
Archivo: ./files/archivo_15_78.bin
Tiempo: 0m11.281s
Archivo: ./files/archivo_15_64.bin
Tiempo: 0m12.415s
Archivo: ./files/archivo_15_62.bin
Tiempo: 0m12.713s
Archivo: ./files/archivo_15_61.bin
Tiempo: 0m12.942s
Archivo: ./files/archivo_15_51.bin
Tiempo: 0m13.208s
Archivo: ./files/archivo_15_69.bin
Tiempo: 0m12.172s
Archivo: ./files/archivo_15_68.bin
Tiempo: 0m12.369s
Archivo: ./files/archivo_15_52.bin
Tiempo: 0m13.619s
Archivo: ./files/archivo_15_72.bin
Tiempo: 0m12.585s
Archivo: ./files/archivo_15_73.bin
Tiempo: 0m12.497s
Archivo: ./files/archivo_15_89.bin
Tiempo: 0m11.412s
Archivo: ./files/archivo_15_65.bin
Tiempo: 0m13.071s
Archivo: ./files/archivo_15_86.bin
Tiempo: 0m11.885s
Archivo: ./files/archivo_15_76.bin
Tiempo: 0m12.554s
Archivo: ./files/archivo_15_66.bin
Tiempo: 0m13.430s
Archivo: ./files/archivo_15_88.bin
Tiempo: 0m11.967s
Archivo: ./files/archivo_15_63.bin
Tiempo: 0m13.808s
Archivo: ./files/archivo_15_71.bin
Tiempo: 0m13.238s
Archivo: ./files/archivo_15_84.bin
Tiempo: 0m12.678s
Archivo: ./files/archivo_15_95.bin
Tiempo: 0m12.001s
Archivo: ./files/archivo_15_67.bin
Tiempo: 0m13.922s
Archivo: ./files/archivo_15_94.bin
Tiempo: 0m12.231s
Archivo: ./files/archivo_15_92.bin
Tiempo: 0m12.268s
Archivo: ./files/archivo_15_93.bin
Tiempo: 0m12.453s
Archivo: ./files/archivo_15_70.bin
Tiempo: 0m13.967s
Archivo: ./files/archivo_15_29.bin
Tiempo: 0m15.720s
Archivo: ./files/archivo_15_90.bin
Tiempo: 0m12.615s
Archivo: ./files/archivo_15_42.bin
Tiempo: 0m15.855s
Archivo: ./files/archivo_15_96.bin
Tiempo: 0m12.543s
Archivo: ./files/archivo_15_2.bin
Tiempo: 0m16.218s
Archivo: ./files/archivo_15_41.bin
Tiempo: 0m16.172s
Archivo: ./files/archivo_15_16.bin
Tiempo: 0m16.333s
Archivo: ./files/archivo_15_25.bin
Tiempo: 0m16.329s
Archivo: ./files/archivo_15_24.bin
Tiempo: 0m16.355s
Archivo: ./files/archivo_15_6.bin
Tiempo: 0m16.429s
Archivo: ./files/archivo_15_26.bin
Tiempo: 0m16.346s
Archivo: ./files/archivo_15_57.bin
Tiempo: 0m15.681s
Archivo: ./files/archivo_15_54.bin
Tiempo: 0m15.806s
Archivo: ./files/archivo_15_59.bin
Tiempo: 0m15.779s
Archivo: ./files/archivo_15_11.bin
Tiempo: 0m16.604s
Archivo: ./files/archivo_15_39.bin
Tiempo: 0m16.507s
Archivo: ./files/archivo_15_4.bin
Tiempo: 0m16.635s
Archivo: ./files/archivo_15_34.bin
Tiempo: 0m16.553s
Archivo: ./files/archivo_15_49.bin
Tiempo: 0m16.375s
Archivo: ./files/archivo_15_20.bin
Tiempo: 0m16.452s
Archivo: ./files/archivo_15_85.bin
Tiempo: 0m14.051s
Archivo: ./files/archivo_15_58.bin
Tiempo: 0m15.929s
Archivo: ./files/archivo_15_47.bin
Tiempo: 0m16.522s
Archivo: ./files/archivo_15_56.bin
Tiempo: 0m15.959s
Archivo: ./files/archivo_15_48.bin
Tiempo: 0m16.446s
Archivo: ./files/archivo_15_44.bin
Tiempo: 0m16.506s
Archivo: ./files/archivo_15_80.bin
Tiempo: 0m14.262s
Archivo: ./files/archivo_15_77.bin
Tiempo: 0m14.473s
